City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,akobo,7.4344,3.9497,26.61,59,100,0.77,NG,1700157959
1,avarua,-21.2078,-159.775,23.03,64,95,4.63,CK,1700157959
2,arawa,-6.2132,155.5367,22.55,83,58,2.0,PG,1700157959
3,invercargill,-46.4,168.35,8.34,93,100,1.74,NZ,1700157959
4,nemuro,43.3236,145.575,9.03,70,95,7.18,JP,1700157959
5,olinda,-8.0089,-34.8553,28.85,74,75,3.6,BR,1700157960
6,ribeira grande,38.5167,-28.7,21.22,94,75,10.73,PT,1700157718
7,grytviken,-54.2811,-36.5092,1.71,99,100,4.1,GS,1700157960
8,stanley,54.868,-1.6985,5.95,94,20,1.03,GB,1700157960
9,longyearbyen,78.2186,15.6401,-12.09,67,40,6.17,SJ,1700157960
10,antonio enes,-16.2325,39.9086,24.78,64,2,5.66,MZ,1700157960
11,hengchun,22.0042,120.7439,22.39,82,85,9.03,TW,1700157960
12,tolanaro,-25.0319,46.9987,20.04,88,75,5.14,MG,1700157961
13,ban dan lan hoi,17.0068,99.575,23.46,92,97,0.61,TH,1700157961
14,ilulissat,69.2167,-51.1,-7.99,73,75,0.0,GL,1700157961
15,atafu village,-8.5421,-172.5159,29.15,75,95,3.03,TK,1700157961
16,saipan,15.1355,145.701,28.42,76,99,9.11,MP,1700157713
17,albany,42.6001,-73.9662,16.0,49,6,0.45,US,1700157811
18,nova sintra,14.8667,-24.7167,23.94,70,93,3.92,CV,1700157722
19,muroto-misakicho,33.2833,134.15,18.97,90,100,11.6,JP,1700157961
20,bredasdorp,-34.5322,20.0403,18.27,85,99,2.34,ZA,1700157962
21,fortuna,40.5982,-124.1573,18.29,83,75,0.89,US,1700157962
22,fort bragg,35.139,-79.006,23.14,51,100,2.06,US,1700157754
23,qaqortoq,60.7167,-46.0333,-3.84,79,93,3.6,GL,1700157722
24,adamstown,-25.066,-130.1015,21.78,90,100,6.57,PN,1700157962
25,new norfolk,-42.7826,147.0587,8.73,93,86,1.41,AU,1700157720
26,constantia,44.1833,28.65,10.38,58,55,2.96,RO,1700157963
27,bethel,41.3712,-73.414,17.94,45,0,3.6,US,1700157963
28,isafjordur,66.0755,-23.124,-1.98,86,0,0.0,IS,1700157963
29,port lincoln,-34.7333,135.8667,12.59,79,6,6.32,AU,1700157963
30,bardai,11.65,7.2333,26.58,35,100,4.15,NG,1700157963
31,thunder bay,48.4001,-89.3168,11.95,58,75,2.57,CA,1700157754
32,wailua homesteads,22.0669,-159.378,23.44,82,40,7.72,US,1700157964
33,anadyr,64.75,177.4833,-21.67,76,0,7.0,RU,1700157680
34,waitangi,-43.9535,-176.5597,14.9,93,98,3.58,NZ,1700157964
35,olonkinbyen,70.9221,-8.7187,-3.97,77,100,2.05,SJ,1700157965
36,punta del este,-34.9667,-54.95,22.06,59,0,7.2,UY,1700157965
37,lihue,21.9789,-159.3672,23.77,76,40,7.72,US,1700157965
38,leava,-14.3,-178.1667,28.29,79,53,2.13,WF,1700157966
39,saint-pierre,-21.3393,55.4781,24.76,94,75,7.72,RE,1700157966
40,arauquita,7.0292,-71.4281,35.8,36,82,1.09,CO,1700157966
41,haiku-pauwela,20.9219,-156.3051,22.8,82,40,4.63,US,1700157967
42,ushuaia,-54.8,-68.3,9.81,46,75,5.81,AR,1700157708
